state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,unemployment,poverty_log,less_than_high_school_log,high_school_diploma_log,college/associate_degree_log,unemployment_log,RUCC_reduced,region_reduced
IA,Cherokee County,Midwest,6,9.402999999999999,34.772,36.662,3.6,2.3978952727983707,2.24102878729494,3.548812465216818,3.601740796297173,1.2809338454620642,4-9,Northeast_Midwest
IA,Chickasaw County,Midwest,6,9.718,44.136,31.666,4.4,2.3978952727983707,2.2739798359837113,3.7872757759701297,3.4552435500792424,1.4816045409242156,4-9,Northeast_Midwest
IA,Clarke County,Midwest,6,9.308,44.266999999999996,31.031,3.4,2.4849066497880004,2.230874245440045,3.7902394784663542,3.43498670481823,1.2237754316221157,4-9,Northeast_Midwest
IA,Clay County,Midwest,7,6.772,34.567,37.796,3.8,2.19722457733622,1.912796464270889,3.5428994697224194,3.6322032769203796,1.33500106673234,4-9,Northeast_Midwest
IA,Clayton County,Midwest,8,9.036,44.696000000000005,30.959,4.2,2.302585092994046,2.2012165986057566,3.7998840121568476,3.4326637484582765,1.4350845252893227,4-9,Northeast_Midwest
IA,Clinton County,Midwest,4,8.419,36.481,35.732,4.9,2.6390573296152584,2.130491056355527,3.5967915771111225,3.5760466458395928,1.589235205116581,4-9,Northeast_Midwest
IA,Crawford County,Midwest,7,21.484,37.68,29.183000000000003,5.4,2.6390573296152584,3.067308472043213,3.629129449708162,3.373586347953973,1.6863989535702288,4-9,Northeast_Midwest
IA,Dallas County,Midwest,2,4.4639999999999995,19.442,28.675,2.6,1.6094379124341005,1.4960452250790097,2.9674356743988772,3.3560256630154344,0.9555114450274363,2-3,Northeast_Midwest
IA,Davis County,Midwest,9,13.322000000000001,38.178000000000004,31.941,4.2,2.5649493574615367,2.589416803990988,3.6422594334787104,3.463890451000579,1.4350845252893227,4-9,Northeast_Midwest
IA,Decatur County,Midwest,9,13.057,37.184,29.65,3.2,2.9957322735539913,2.5693243884259016,3.615878561229446,3.3894621254437345,1.1631508098056809,4-9,Northeast_Midwest
IA,Delaware County,Midwest,6,9.308,43.49100000000001,32.144,3.5,2.302585092994046,2.230874245440045,3.7725540201368704,3.4702258080725787,1.252762968495368,4-9,Northeast_Midwest
IA,Des Moines County,Midwest,5,7.789,35.044000000000004,37.6,4.9,2.772588722239781,2.0527124819378115,3.5566044148041174,3.6270040503958487,1.589235205116581,4-9,Northeast_Midwest
